x,y,z
178135.13,542868.48,18.86
178135.13,542778.48,18.95
178135.13,542688.48,19.28
178135.13,542598.48,20.41
178135.13,542508.48,22.22
178135.13,542418.48,23.53
178135.13,542328.48,23.99
178135.13,542238.48,25.13
178135.13,542148.48,27.39
178135.13,542058.48,29.63
178135.13,541968.48,30.75
178135.13,541878.48,30.89
178135.13,541788.48,30.97
178135.13,541698.48,31.65
178135.13,541608.48,33.08
178135.13,541518.48,34.95
178135.13,541428.48,36.93
178135.13,541338.48,39.28
178135.13,541248.48,42.04
178135.13,541158.48,44.5
178135.13,541068.48,46.07
178135.13,540978.48,46.69
178135.13,540888.48,47.36
178135.13,540798.48,48.14
178135.13,540708.48,47.63
178135.13,540618.48,45.5
178135.13,540528.48,42.61
178135.13,540438.48,39.95
178135.13,540348.48,38.14
178135.13,540258.48,36.74
178135.13,540168.48,34.95
178135.13,540078.48,32.03
178135.13,539988.48,28.13
178135.13,539898.48,24.12
178135.13,539808.48,20.77
178135.13,539718.48,19.52
178135.13,539628.48,19.76
178135.13,539538.48,23.14
178135.13,539448.48,31.49
178135.13,539358.48,39.41
178135.13,539268.48,39.56
178135.13,539178.48,33.11
178135.13,539088.48,27.94
178135.13,538998.48,29.77
178135.13,538908.48,32.31
178135.13,538818.48,31.9
178135.13,538728.48,33.9
178135.13,538638.48,38.75
178135.13,538548.48,44.45
178135.13,538458.48,46.07
178135.13,538368.48,40.4
178135.13,538278.48,35.72
178135.13,538188.48,31.48
178135.13,538098.48,27.34
